entity1,relations,entity2
Q290691,P279,Q215627
Q290691,P1552,Q15292
Q148571,P186,Q287
Q148571,P186,Q11469
Q132821,P279,Q83267
Q5891,P2578,Q16502
Q5891,P2578,Q9081
Q5891,P279,Q336
Q2728730,P279,Q9415
Q905151,P186,Q11472
Q730920,P279,Q170658
Q6501338,P1995,Q9418
Q10675206,P361,Q169336
Q10675206,P279,Q214609
Q167270,P279,Q3695082
Q48995880,P279,Q45701
Q221488,P279,Q215627
Q221488,P1552,Q6537379
Q216353,P279,Q82799
Q216353,P279,Q618779
Q193979,P279,Q40831
Q7725,P361,Q573
Q7725,P155,Q283102
Q125191,P279,Q49848
Q125191,P279,Q478798
Q125191,P2079,Q11633
Q264965,P279,Q11042
Q179289,P361,Q8078
Q1255828,P279,Q179875
Q58179319,P279,Q215627
Q939726,P279,Q180516
Q174219,P279,Q214609
Q11412,P1542,Q25288
Q840407,P1552,Q487
Q47528,P279,Q58778
Q1761451,P828,Q192906
Q2685,P106,Q33999
Q2685,P106,Q2526255
Q2685,P106,Q4991371
Q2685,P101,Q222749
Q2685,P101,Q7163
Q3142,P279,Q9128
Q1404101,P279,Q618779
Q18545,P1535,Q7569
Q18545,P1535,Q2066131
Q575,P156,Q7722
Q575,P361,Q573
Q575,P1552,Q204170
Q177413,P279,Q193291
Q131138,P279,Q35874
Q8236,P279,Q205961
Q8236,P828,Q8434
Q206864,P279,Q3242199
Q37507,P186,Q287
Q45529,P279,Q193291
Q7752560,P136,Q8261
Q34168,P366,Q36963
Q1337738,P279,Q211236
Q1337738,P4330,Q5
Q36402,P361,Q575
Q152,P279,Q729
Q201676,P1557,Q4
Q385378,P1056,Q41176
Q366791,P279,Q775842
Q283102,P361,Q573
Q283102,P156,Q7725
Q692,P106,Q36180
Q692,P106,Q33999
Q8486,P279,Q40050
Q321703,P361,Q8078
Q44432,P279,Q11379
Q4503831,P279,Q706622
Q51552,P106,Q2526255
Q51552,P106,Q33999
Q51552,P106,Q28389
Q51552,P106,Q36180
Q27686,P279,Q4830453
Q27686,P279,Q41176
Q17737,P279,Q151885
Q170539,P279,Q35874
Q298364,P1399,Q132821
Q298364,P106,Q4991371
Q66107,P106,Q36180
Q799,P279,Q46744
Q799,P279,Q9081
Q515,P279,Q177634
Q515,P3729,Q3957
Q1616750,P279,Q35874
Q25288,P279,Q11402
Q25288,P828,Q11412
Q151885,P1552,Q1128596
Q336,P1056,Q9081
Q7722,P361,Q573
Q7722,P155,Q575
Q276258,P156,Q131774
Q9635,P366,Q213449
Q9635,P366,Q9530
Q9635,P361,Q23640
Q9635,P927,Q23640
Q6537379,P279,Q349
