entity1,relations,entity2
Q11023,P2578,Q12725
Q11023,P2578,Q385378
Q11023,P2283,Q413
Q11023,P2283,Q2329
Q42962,P1382,Q127980
Q42962,P1382,Q22656
Q309100,P1056,Q1371819
Q283,P462,Q3133
Q283,P462,Q3142
Q283,P462,Q23444
Q48277,P2579,Q21201
Q107,P1557,Q133327
Q176691,P159,Q752719
Q176691,P17,Q30
Q176691,P1056,Q7397
Q176691,P276,Q752719
Q1229994,P1995,Q7867
Q1229994,P1995,Q9418
Q2920921,P2079,Q309100
Q6501338,P1995,Q9418
Q456,P190,Q490
Q456,P190,Q41183
Q456,P17,Q142
Q49845,P17,Q38
Q385378,P1056,Q41176
Q385378,P1056,Q121359
Q385378,P2579,Q11023
Q84122,P25,Q79876
Q124490,P1542,Q81938
Q124490,P1542,Q193078
Q571571,P1382,Q4122037
Q432,P112,Q9458
Q432,P457,Q428
Q432,P1299,Q47740
Q130768,P1478,Q168983
Q130768,P1536,Q4
Q11412,P1542,Q25288
Q43261,P828,Q207961
Q43115,P140,Q5043
Q43115,P140,Q9089
Q43115,P140,Q432
Q6498684,P828,Q601401
Q6498684,P828,Q200303
Q6498684,P828,Q14208553
Q6498684,P828,Q12772819
Q1026040,P1995,Q9418
Q193078,P828,Q171558
Q178,P495,Q38
Q4126704,P105,Q7432
Q7239,P1557,Q3
Q7239,P1557,Q7020
Q7239,P2283,Q11379
Q7239,P2283,Q2095
Q7239,P2579,Q420
Q381160,P1382,Q2248623
Q2248623,P1382,Q381160
Q29334,P629,Q1845
Q525,P398,Q313
Q525,P398,Q2
Q525,P398,Q193
Q525,P398,Q324
Q525,P398,Q332
Q525,P398,Q339
Q525,P1441,Q1092
Q3230,P2579,Q25261
Q3230,P376,Q2
Q3230,P186,Q627
Q3230,P186,Q629
Q3230,P186,Q696
Q3230,P186,Q1997
Q3230,P186,Q654
Q3230,P186,Q560
Q3230,P186,Q37129
Q7802,P186,Q283
Q40614,P2579,Q7205
Q176125,P551,Q163329
Q176125,P411,Q43115
Q160232,P1542,Q770480
Q83301,P828,Q33741
Q160289,P927,Q7362
Q16886469,P1382,Q1074648
Q1369832,P2079,Q39809
Q21201,P2578,Q8425
Q21201,P2578,Q48277
Q21201,P2578,Q8434
Q133156,P828,Q815962
Q605704,P1557,Q36977
Q52946,P2079,Q170475
Q8486,P495,Q115
Q8486,P495,Q96
Q9268,P17,Q801
Q3177118,P140,Q5043
Q7439360,P140,Q9592
Q11427,P462,Q42519
Q6097,P186,Q11002
Q6097,P186,Q283
Q6097,P186,Q60235
Q877517,P2283,Q18545
Q748,P112,Q9441
Q9592,P112,Q302
Q9592,P2388,Q19546
Q165800,P61,Q868
Q481609,P1382,Q15098235
Q37413,P5236,Q200
Q2526135,P3712,Q10566551
Q192270,P437,Q22855
Q192270,P828,Q22855
Q159810,P2579,Q8134
Q125482,P140,Q432
Q587289,P17,Q142
Q234764,P50,Q9458
Q7882338,P495,Q30
Q1073,P927,Q23640
Q79529,P2579,Q413
Q79529,P2579,Q2329
Q17052147,P828,Q1121708
Q17052147,P828,Q6875295
Q49835,P1344,Q654810
Q49835,P1344,Q491
Q160402,P1542,Q4338318
Q1371819,P828,Q309100
Q12202,P1995,Q83042
Q12202,P1995,Q188449
Q52948,P276,Q58778
Q163446,P186,Q42329
Q287,P1582,Q10884
Q1406719,P17,Q224
Q551997,P186,Q11427
Q551997,P186,Q753
Q551997,P186,Q663
Q205555,P828,Q9415
Q37425,P927,Q133105
Q26540,P397,Q2
Q12870,P1542,Q786054
Q12870,P1542,Q179057
Q12136,P2579,Q7208
Q174546,P7047,Q302
Q11423,P1542,Q11402
Q3285695,P2579,Q420
Q3285695,P2579,Q7162
Q11460,P186,Q28823
Q11460,P186,Q286
Q11460,P176,Q242468
Q188728,P1382,Q2476929
Q188728,P1382,Q308859
Q34442,P2670,Q177749
Q41207,P1557,Q1368
Q6225,P190,Q1731
Q6225,P190,Q11194
Q29539,P4934,Q11423
Q29539,P4934,Q39297
Q2585693,P2959,Q1296024
Q8016240,P710,Q41487
Q8016240,P710,Q600751
