ID+label+description+aliases+Data type+Count
P2860+cites work+citation from one creative work to another+bibliographic citation, citation+WikibaseItem+174416772
P31+instance of+that class of which this subject is a particular example and member+∈, member of, type, is a, is, distinct element of, distinct individual member of, distinct member of, has class, has type, is a particular, is a specific, is a unique, is an, is an example of, is an individual, non-type member of, not a type but is instance of, occurrence of, rdf:type, uninstantiable instance of, unique individual of, unitary element of class, unsubclassable example of, unsubclassifiable member of, unsubtypable particular, main type, is a(n)+WikibaseItem+94037886
P248+stated in+to be used in the references field to refer to the information document or database in which a claim is made; for qualifiers use P805+originating source, source of claim, in statement+WikibaseItem+67990115
P1433+published in+larger work that a given work was published in, like a book, journal or music album+album, venue, music album, on the tracklist of, part of work, published in journal, article of, chapter of, essay of, song on, song on album, track of, track on, track on album+WikibaseItem+36054583
P1227+astronomical filter+passband used to isolate particular sections of the electromagnetic spectrum+filter, colour filter, wavelength band+WikibaseItem+33124295
P972+catalog+catalog for the item, or, as a qualifier of P528 – catalog for which the 'catalog code' is valid+exhibition catalogue, catalogue, registry+WikibaseItem+23776069
P50+author+main creator(s) of a written work (use on works, not humans); use P2093 when Wikidata item is unknown or does not exist+writer, authors, creator, written by, by, writers, author(s), writer(s)+WikibaseItem+19045736
P407+language of work or name+"language associated with this creative work (such as books, shows, songs, or websites) or a name (for persons use ""native language"" (P103) and ""languages spoken, written or signed"" (P1412))"+language, audio language, available in, broadcasting language, language of name, language of spoken text, language of the name, language of the reference, language of URL, language of website, language of work, named in language, used language+WikibaseItem+15314799
P17+country+sovereign state of this item (not to be used for human beings)+state, land, sovereign state, host country+WikibaseItem+13056729
P921+main subject+primary topic of a work (see also P180: depicts)+subject, topic, artistic theme, sitter, theme, keyword, about, main topic, index term, subject heading, describes, is about, main issue, main thing, mainly about, mentions, primary subject, primary topic, refers to, topic of work, regards, regarding, in regards to, content deals with, content describes, content is about, has a subject, /common/topic/subject+WikibaseItem+11814662
P642+of+qualifier stating that a statement applies within the scope of a particular item+in, scope, applies to, in scope of, in the scope of, within scope of, within the scope of+WikibaseItem+11071325
P131+located in the administrative territorial entity+the item is located on the territory of the following administrative entity. Use P276 (location) for specifying locations that are non-administrative places and for items about events+city, town, locality, administrative territorial entity, region, state, based in, happens in, in, in administrative unit, in the administrative unit, Indian reservation, is in administrative unit, is in the administrative region of, is in the administrative unit, is in the arrondissement of, is in the borough of, is in the city of, is in the commune of, is in the county of, is in the department of, is in the district of, is in the Indian reservation of, is in the Indian reserve of, is in the local government area of, is in the municipality of, is in the parish of, is in the prefecture of, is in the principal area of, is in the province of, is in the region of, is in the rural city of, is in the settlement of, is in the shire of, is in the state of, is in the territory of, is in the town of, is in the village of, is in the voivodeship of, is in the ward of, is located in, located in administrative unit, located in the administrative territorial entity, located in the administrative unit, located in the territorial entity, location (administrative territorial entity)+WikibaseItem+10146438
