entity1,relations,entity2
Q132621,P2175,Q168800
Q132621,P2868,Q162657
Q42962,P1382,Q127980
Q37083,P105,Q7432
Q184204,P155,Q107244
Q170065,P1542,Q166231
Q7187,P688,Q8054
Q103537,P1542,Q79460
Q133156,P828,Q815962
Q11028,P828,Q174984
Q11028,P1542,Q9081
Q14382,P155,Q9887
Q14382,P156,Q14387
Q423123,P2868,Q215118
Q107244,P156,Q184204
Q706622,P1382,Q4503831
Q5057238,P2868,Q12187
Q7725,P155,Q283102
Q11423,P1542,Q11402
Q1371819,P828,Q309100
Q46744,P828,Q133500
Q46744,P1382,Q9081
Q46744,P1382,Q164359
Q12078,P1995,Q162555
Q12078,P2176,Q11426176
Q12078,P2176,Q422252
Q12078,P2176,Q424972
Q12078,P2176,Q417222
Q12078,P2579,Q162555
Q876776,P2283,Q40050
Q876776,P2283,Q9635
Q876776,P2283,Q11435
Q876776,P2283,Q81727
Q283,P462,Q3133
Q283,P462,Q23444
Q159683,P2868,Q215118
Q407541,P769,Q418656
Q407541,P769,Q410061
Q407541,P2175,Q81938
Q407541,P2175,Q133823
Q407541,P2175,Q170990
Q407541,P2175,Q945238
Q407541,P2868,Q427523
Q407541,P2868,Q940
Q81938,P2176,Q419383
Q81938,P2176,Q407541
Q81938,P2176,Q243547
Q81938,P2176,Q130336
Q81938,P2176,Q186969
Q81938,P2176,Q81225
Q81938,P2176,Q273169
Q81938,P2176,Q423288
Q81938,P2176,Q422806
Q81938,P2176,Q409231
Q81938,P2176,Q1185089
Q81938,P2176,Q58396
Q81938,P2176,Q216935
Q81938,P2176,Q41576
Q81938,P2176,Q2465218
Q81938,P2176,Q18216
Q81938,P2176,Q57055
Q81938,P2176,Q58397
Q81938,P2176,Q419608
Q81938,P2176,Q174259
Q81938,P2176,Q174723
Q81938,P2176,Q55434
Q81938,P1995,Q83042
Q81938,P1995,Q615057
Q81938,P1995,Q29483
Q10897,P155,Q14401
Q1284347,P689,Q7886
Q40878,P1995,Q120569
Q974869,P1995,Q103824
Q164359,P1382,Q46744
Q164359,P1382,Q9081
Q164359,P828,Q133500
Q37221,P2670,Q173817
Q409262,P2175,Q938983
Q409262,P2868,Q12187
Q191807,P1557,Q2448456
Q37425,P927,Q133105
Q271021,P2868,Q12187
Q28971,P1995,Q171171
Q28971,P2176,Q413728
Q179289,P2579,Q156318
Q11582,P111,Q39297
Q2552927,P2175,Q1435822
Q2552927,P2175,Q221668
Q2552927,P2175,Q242165
Q2552927,P2175,Q183134
Q2552927,P2175,Q506652
Q2552927,P2175,Q12192
Q2552927,P2868,Q12187
Q808845,P2175,Q221668
Q808845,P2175,Q242165
Q808845,P2175,Q1435822
Q808845,P2175,Q183134
Q808845,P2868,Q12187
Q421713,P2175,Q221668
Q421713,P2175,Q201989
Q421713,P2175,Q101896
Q421713,P2175,Q941770
Q421713,P2175,Q223102
Q421713,P2175,Q183134
Q421713,P2175,Q48143
Q421713,P2175,Q876887
Q421713,P2175,Q12192
Q421713,P2868,Q12187
Q1339539,P1995,Q40821
Q11472,P186,Q189720
Q147101,P2175,Q44727
Q147101,P2175,Q182155
Q147101,P2175,Q199615
Q827023,P1995,Q7208
Q185690,P2868,Q11364
Q9081,P828,Q133500
Q9081,P1382,Q46744
Q9081,P1382,Q164359
Q641307,P1995,Q101929
Q422244,P769,Q418656
Q422244,P2175,Q202387
Q422244,P2175,Q154430
Q79793,P780,Q38933
Q79793,P780,Q35805
Q79793,P780,Q1115038
Q79793,P780,Q847726
Q79793,P780,Q40878
Q29496,P780,Q10916362
Q29496,P780,Q152234
Q29496,P780,Q180762
Q29496,P1995,Q103824
Q29496,P2176,Q422232
Q29496,P2176,Q180983
Q29496,P2176,Q408977
Q14387,P155,Q14382
Q11369,P138,Q41509
Q11369,P2579,Q2329
Q193168,P156,Q344
Q193168,P155,Q192630
Q6279182,P1995,Q83042
Q6279182,P828,Q41571
Q5958765,P1995,Q101929
Q5958765,P2959,Q42982
Q5958765,P2176,Q422252
Q5958765,P2176,Q417222
Q5958765,P2176,Q424972
Q5958765,P2176,Q11426176
Q9055203,P171,Q808
Q223911,P1995,Q162555
Q198504,P769,Q57055
Q12195,P1995,Q83042
Q12195,P828,Q12438936
Q12195,P780,Q107231
Q12195,P780,Q1126769
Q12195,P780,Q38933
Q12195,P780,Q127076
Q12195,P780,Q40878
Q42177,P1478,Q35831
Q86,P1995,Q83042
Q86,P828,Q576349
Q259059,P1382,Q8436
Q131742,P689,Q9368
Q131742,P1995,Q120569
Q131742,P1995,Q11180
Q131742,P1542,Q147778
Q131742,P828,Q15326
Q131742,P828,Q18621601
Q131742,P828,Q192360
Q131742,P780,Q133244
Q12438936,P793,Q1764062
Q12438936,P1542,Q12195
Q7380,P171,Q25833
Q7380,P171,Q7377
Q576349,P1995,Q83042
Q576349,P1995,Q7867
Q576349,P1542,Q86
Q2840,P780,Q38933
Q2840,P780,Q86
Q2840,P780,Q9690
Q2840,P780,Q35805
Q2840,P780,Q114085
Q2840,P927,Q7891
Q2840,P1542,Q44512
Q2840,P1542,Q3241045
Q630552,P1995,Q161437
Q106016,P1542,Q104053
Q193447,P171,Q808
Q1074648,P1382,Q16886469
Q134859,P2176,Q213511
Q134859,P780,Q1115038
Q134859,P780,Q38933
Q134859,P780,Q35805
Q134859,P780,Q754424
Q134859,P780,Q9690
Q134859,P780,Q127076
Q420,P2578,Q3
Q420,P2578,Q7239
Q184627,P1542,Q101971
Q4375,P1542,Q188008
Q415550,P2868,Q927234
Q415550,P2175,Q279330
Q131774,P155,Q276258
Q33,P463,Q42262
Q768575,P2283,Q9128
Q193003,P1995,Q83042
Q101929,P2578,Q182581
Q11995,P1542,Q34581
Q11995,P828,Q200117
Q131003,P105,Q7432
Q131003,P1542,Q154878
Q154878,P2176,Q2555060
Q154878,P2176,Q421072
Q154878,P2176,Q422438
Q154878,P828,Q131003
Q154878,P780,Q847726
Q154878,P780,Q199615
Q154878,P780,Q1129121
Q12156,P828,Q311383
Q12156,P828,Q130948
Q12156,P2176,Q2555060
Q12156,P2176,Q422438
Q12156,P2176,Q421094
Q12156,P2176,Q736270
Q12156,P2176,Q421072
Q12156,P780,Q5445
Q12156,P780,Q1129121
Q12156,P780,Q133244
Q12156,P780,Q159557
Q422438,P769,Q410061
Q422438,P769,Q4890934
Q422438,P769,Q41576
Q422438,P769,Q174259
Q422438,P769,Q213511
Q422438,P769,Q251347
Q422438,P769,Q179996
Q422438,P769,Q10354103
Q422438,P769,Q417597
Q422438,P769,Q419394
Q422438,P769,Q413591
Q422438,P2175,Q1483214
Q422438,P2175,Q12156
Q311383,P105,Q7432
Q736270,P2175,Q12156
Q130948,P1542,Q12156
Q331283,P828,Q524818
Q1313,P156,Q1314
Q471706,P1995,Q7208
Q524818,P171,Q132954
Q524818,P1542,Q331283
Q907315,P4934,Q41364
Q11570,P111,Q11423
Q11570,P459,Q12453
Q11570,P459,Q976981
Q11570,P138,Q41803
Q388388,P1995,Q120569
Q42377797,P1542,Q424543
Q419618,P2175,Q185137
Q385378,P1056,Q41176
Q385378,P2579,Q11023
Q166019,P2176,Q241006
Q166019,P2176,Q418625
Q827390,P927,Q1029907
Q6460735,P2670,Q213449
Q33525,P1995,Q162555
Q33525,P2176,Q423762
Q33525,P2176,Q216935
Q33525,P2176,Q423989
Q181876,P1995,Q162555
Q467635,P1995,Q103824
Q467635,P2176,Q412415
Q467635,P2176,Q408524
Q467635,P2176,Q418656
Q208414,P1995,Q103824
Q208414,P1995,Q162555
Q208414,P2176,Q422232
Q208414,P2176,Q180983
Q208414,P2176,Q418817
Q208414,P2176,Q422252
Q208414,P2176,Q408977
Q208414,P2176,Q11426176
Q208414,P2176,Q18936
Q208414,P2176,Q418656
Q424972,P2175,Q949302
Q424972,P2175,Q12078
Q424972,P2175,Q101991
Q424972,P2175,Q5958765
Q424972,P2175,Q170990
Q424972,P2868,Q422549
Q418656,P2175,Q180614
Q418656,P2175,Q467635
Q418656,P2175,Q208414
Q9609,P2789,Q388209
Q9609,P2789,Q1072
Q223143,P170,Q5596845
Q3285695,P2579,Q420
Q3285695,P2579,Q7162
Q174984,P1542,Q11028
Q356033,P1995,Q162555
Q2575340,P1995,Q162555
Q1362453,P1995,Q162555
Q5009851,P682,Q539568
Q5009851,P681,Q220599
Q5009851,P681,Q187388
Q202758,P2176,Q420009
Q180983,P2175,Q29496
Q180983,P2175,Q208414
Q180983,P2175,Q369157
Q418817,P2175,Q938205
Q418817,P2175,Q1411740
Q418817,P2175,Q1898141
Q418817,P2175,Q208414
Q238512,P2175,Q3667186
Q162555,P2578,Q12078
Q128406,P2578,Q1848900
Q128406,P2578,Q8386
Q177755,P1995,Q162555
Q422252,P2175,Q12078
Q422252,P2175,Q127076
Q422252,P2175,Q101991
Q422252,P2175,Q5958765
Q422252,P2175,Q816798
Q422252,P2175,Q280027
Q422252,P2175,Q208414
Q422252,P2868,Q422549
Q26963,P2175,Q334655
Q1318776,P2868,Q62614
Q35473,P186,Q11469
Q1410851,P1995,Q327657
Q1148337,P780,Q3503092
Q1148337,P780,Q133244
Q1148337,P1995,Q162555
Q461857,P1995,Q162555
Q461857,P1995,Q504033
Q938205,P1995,Q162555
Q938205,P2176,Q186127
Q938205,P2176,Q418817
Q938205,P2176,Q408977
Q938205,P2176,Q412415
Q938205,P2176,Q408524
Q170304,P2175,Q1054718
Q170304,P2175,Q217111
Q180614,P1995,Q162555
Q180614,P2176,Q186127
Q180614,P2176,Q415571
Q180614,P2176,Q418656
Q180614,P2176,Q423762
Q203601,P1995,Q2964004
Q203601,P780,Q188008
Q203601,P780,Q9690
Q261327,P1995,Q103824
Q261327,P2176,Q407431
Q1734755,P2176,Q419935
Q104053,P828,Q106016
Q104053,P1557,Q106016
Q407166,P682,Q11978
Q407166,P2868,Q11364
Q177708,P1995,Q1221899
Q912741,P1995,Q1221899
Q7141,P2578,Q7868
Q423989,P2868,Q187661
Q3843804,P1995,Q162555
Q272741,P780,Q101991
Q283350,P681,Q79899
Q283350,P681,Q39572
Q283350,P681,Q14817959
Q283350,P681,Q30869
Q283350,P681,Q220599
Q187661,P1542,Q1216998
Q187661,P1542,Q1637543
Q79529,P2579,Q2329
Q10850,P171,Q25833
Q10850,P171,Q7377
Q104219,P2868,Q133948
Q41509,P138,Q11369
Q172623,P4934,Q11423
Q752641,P1542,Q12485
Q9655,P2789,Q1072
Q9655,P2789,Q501908
Q1501239,P1995,Q162555
Q13147,P927,Q23640
Q13147,P2789,Q482853
Q13147,P2670,Q265868
Q551997,P186,Q11427
Q551997,P186,Q753
Q551997,P186,Q663
Q43471,P2789,Q228537
Q43471,P2789,Q756066
Q412747,P2868,Q927234
Q407927,P2868,Q146505
Q11426176,P2175,Q949302
Q11426176,P2175,Q12078
Q11426176,P2175,Q101991
Q11426176,P2175,Q5958765
Q11426176,P2175,Q980926
Q11426176,P2175,Q208414
Q11426176,P2175,Q280027
Q11426176,P2868,Q422549
Q380616,P2283,Q747779
Q218706,P682,Q332154
Q111146,P927,Q7873
Q464067,P2176,Q413546
Q464067,P2176,Q415259
Q464067,P2176,Q412223
Q464067,P2176,Q411478
Q242165,P2176,Q18216
Q242165,P2176,Q57055
Q242165,P2176,Q256602
Q242165,P2176,Q2552927
Q242165,P2176,Q186969
Q242165,P2176,Q808845
Q9128,P2579,Q14620
Q1029907,P2789,Q173710
Q1029907,P2789,Q134955
Q1637543,P1995,Q162555
Q276258,P156,Q131774
Q276258,P2670,Q7569
Q276258,P155,Q34581
Q276258,P828,Q34581
Q5773040,P1995,Q162555
Q1898141,P1995,Q162555
Q1898141,P2176,Q186127
Q1898141,P2176,Q418817
Q1898141,P2176,Q408977
Q1898141,P2176,Q408524
Q1144929,P1056,Q45190
Q411624,P681,Q79899
Q411624,P681,Q220599
Q411624,P681,Q154626
Q171558,P1542,Q193078
Q171558,P1542,Q4
Q413766,P682,Q539568
Q413766,P681,Q381899
Q420012,P681,Q39572
Q420012,P681,Q83330
Q420012,P681,Q79899
Q420012,P682,Q332154
Q415588,P2175,Q549534
Q412415,P2175,Q549534
Q412415,P2175,Q467635
Q412415,P2175,Q938205
Q18936,P2175,Q208414
Q186889,P1995,Q120569
Q407595,P1478,Q1057
Q12769938,P1542,Q309314
Q176503,P2789,Q229081
Q549534,P1995,Q162555
Q549534,P2176,Q422232
Q549534,P2176,Q415588
Q549534,P2176,Q412415
Q16363,P2789,Q756066
Q16363,P2789,Q9633
Q193211,P1995,Q162555
Q228537,P2789,Q33767
Q422232,P2175,Q549534
Q422232,P2175,Q29496
Q422232,P2175,Q208414
Q422232,P2175,Q980926
Q422232,P2175,Q280027
Q422232,P2175,Q170990
Q422232,P2868,Q127060
Q408977,P2175,Q29496
Q408977,P2175,Q1898141
Q408977,P2175,Q938205
Q408977,P2175,Q208414
Q190012,P2175,Q925092
Q190012,P2868,Q173235
Q408524,P2175,Q938205
Q408524,P2175,Q467635
Q408524,P2175,Q1485
Q408524,P2175,Q1898141
Q408524,P2175,Q500695
Q23841,P121,Q283
Q39111,P2175,Q41861
Q39111,P2175,Q180762
Q113796,P186,Q5447188
Q180618,P2975,Q7020
Q206060,P1995,Q171171
Q174728,P111,Q36253
Q191907,P2868,Q133948
Q662860,P1542,Q12192
Q662860,P1542,Q199804
Q662860,P1542,Q1472
Q662860,P1542,Q12204
Q199678,P2868,Q133948
Q199678,P2868,Q34956
Q876,P2868,Q133948
Q5445,P1995,Q103824
Q6147804,P186,Q28823
Q193078,P828,Q171558
Q153,P2670,Q623
Q153,P2670,Q556
Q153,P2670,Q629
Q153,P2670,Q104116
Q153,P2868,Q146505
Q413283,P2868,Q187689
Q26868,P703,Q7377
Q3010352,P1995,Q10379
Q3010352,P1995,Q83042
Q2329,P2578,Q79529
Q2329,P2579,Q11023
Q12206,P1542,Q127724
Q12206,P1542,Q945238
Q133105,P2789,Q160695
Q692077,P1995,Q171171
Q192630,P156,Q193168
Q410291,P2175,Q41861
Q410291,P2175,Q180762
Q1757427,P1995,Q103824
Q186127,P2175,Q180614
Q186127,P2175,Q938205
Q186127,P2175,Q1076481
Q186127,P2175,Q1898141
Q186127,P2868,Q12187
Q500695,P1995,Q162555
Q500695,P2176,Q408524
Q899285,P1995,Q101929
Q173710,P927,Q994554
Q173710,P2789,Q174778
Q173710,P2789,Q1029907
Q39369,P111,Q11652
Q247154,P1542,Q11563
Q37383,P105,Q7432
Q309100,P1056,Q1371819
Q174778,P2789,Q9637
Q174778,P2789,Q173710
Q160402,P1542,Q4338318
Q346854,P2670,Q7868
Q6537379,P2283,Q133105
Q189308,P171,Q808
Q49546,P2868,Q146505
Q5264826,P1995,Q162555
Q229256,P2176,Q416132
Q229256,P2176,Q132501
Q229256,P2176,Q422442
Q336,P1056,Q9081
Q8425,P2670,Q5
Q536269,P1995,Q162555
Q536269,P2176,Q423364
Q16399,P927,Q9633
Q16399,P1056,Q422106
Q409231,P2175,Q81938
Q409231,P2175,Q645363
Q409231,P2175,Q62736
Q409231,P2175,Q101991
Q409231,P2175,Q133087
Q409231,P2868,Q188724
Q407350,P2175,Q165328
Q177463,P462,Q23445
Q103142,P2789,Q501908
Q103142,P2789,Q388209
Q147778,P689,Q5
Q147778,P828,Q15326
Q147778,P828,Q131742
Q147778,P828,Q3144934
Q147778,P1995,Q120569
Q147778,P927,Q9368
Q282,P186,Q45422
Q282,P462,Q23444
Q10737,P1995,Q7867
Q10737,P1995,Q9418
Q7958,P3712,Q46744
Q223102,P1995,Q120569
Q223102,P2176,Q421713
Q223102,P2176,Q412223
Q223102,P927,Q9629
Q41861,P2176,Q592802
Q41861,P2176,Q424952
Q41861,P2176,Q423930
Q41861,P2176,Q39111
Q41861,P2176,Q422188
Q41861,P2176,Q280786
Q41861,P2176,Q425296
Q41861,P2176,Q410291
Q41861,P2176,Q412221
Q41861,P2176,Q419987
Q41861,P2176,Q411347
Q41861,P2176,Q423364
Q41861,P2176,Q422229
Q41861,P2176,Q420360
Q41861,P2176,Q411325
Q41861,P2176,Q418101
Q41861,P2176,Q221520
Q41861,P2176,Q418139
Q41861,P2176,Q277785
Q41861,P2176,Q4890934
Q41861,P2176,Q419995
Q41861,P2176,Q958087
Q41861,P2176,Q729213
Q41861,P2176,Q419939
Q41861,P2176,Q413994
Q41861,P2176,Q422185
Q41861,P2176,Q409468
Q41861,P2176,Q3342150
Q41861,P2176,Q425289
Q41861,P2176,Q421119
Q2090167,P1995,Q162555
Q8452,P1995,Q5284418
Q1126769,P1995,Q83042
Q28472,P186,Q189474
Q8236,P828,Q8434
Q861028,P1995,Q162555
Q196672,P2789,Q180323
Q749115,P155,Q34581
Q192360,P2579,Q101929
Q1088163,P1995,Q162555
Q6428674,P2579,Q309
Q6428674,P2579,Q420
Q11023,P2578,Q385378
Q11023,P2283,Q2329
Q1365309,P1995,Q162555
Q1365309,P1995,Q83042
Q28575,P150,Q515
Q2453464,P1995,Q120569
