entity1,relations,entity2
Q171558,P1542,Q193078
Q171558,P1542,Q4
Q5113,P1672,Q10990
Q193168,P156,Q344
Q193168,P155,Q192630
Q482798,P111,Q36253
Q167903,P828,Q7944
Q3957,P3730,Q515
Q11573,P111,Q36253
Q11573,P111,Q126017
Q1267889,P276,Q4022
Q1267889,P276,Q12284
Q1267889,P276,Q23397
Q41207,P1557,Q1368
Q11423,P1542,Q11402
Q7414,P1056,Q7397
Q181114,P452,Q190117
Q181114,P1056,Q43193
Q181114,P1056,Q1420
Q181114,P199,Q27564
Q181114,P199,Q30113
Q181114,P355,Q27564
Q181114,P355,Q30113
Q17147,P703,Q729
Q869,P530,Q35
Q869,P530,Q142
Q869,P530,Q833
Q869,P530,Q928
Q869,P530,Q96
Q869,P530,Q902
Q869,P47,Q833
Q869,P38,Q177882
Q902,P530,Q41
Q902,P530,Q43
Q902,P530,Q869
Q902,P530,Q928
Q902,P530,Q842
Q902,P530,Q96
Q902,P530,Q833
Q902,P530,Q32
Q902,P530,Q142
Q902,P530,Q35
Q902,P530,Q298
Q1641044,P1056,Q42501
Q573103,P159,Q1715
Q11412,P1542,Q25288
Q253276,P111,Q36253
Q30113,P749,Q181114
Q30113,P452,Q190117
Q152051,P452,Q11474
Q135325,P1056,Q663
Q7841232,P452,Q190117
Q44,P176,Q131734
Q1578,P2283,Q1566
Q1578,P186,Q1566
Q163712,P17,Q833
Q163712,P1001,Q833
Q195,P186,Q11002
Q578,P111,Q11471
Q41177,P186,Q1098
Q456,P17,Q142
Q4850064,P17,Q736
Q13270,P2079,Q720398
Q507154,P1056,Q12140
Q448042,P159,Q72
Q246,P452,Q190117
Q31,P530,Q32
Q31,P530,Q142
Q31,P530,Q35
Q31,P530,Q43
Q31,P530,Q77
Q31,P530,Q833
Q31,P530,Q96
Q31,P530,Q41
Q31,P463,Q41550
Q31,P47,Q32
Q31,P47,Q142
Q3517315,P159,Q340
Q960876,P1056,Q7397
Q7915946,P452,Q190117
Q140565,P276,Q11707
Q201676,P1557,Q4
Q6746,P452,Q190117
Q6746,P17,Q142
Q6746,P1056,Q1420
Q1006,P122,Q7270
Q687687,P452,Q190117
Q687687,P17,Q142
Q12959,P106,Q188094
Q12959,P27,Q142
Q27143,P452,Q190117
Q833,P38,Q163712
Q833,P530,Q15180
Q833,P530,Q20
Q833,P530,Q419
Q833,P530,Q43
Q833,P530,Q31
Q833,P530,Q298
Q833,P530,Q35
Q833,P530,Q33
Q833,P530,Q142
Q833,P530,Q736
Q833,P530,Q398
Q833,P530,Q842
