entity1,relation,entity2
Q353294,P31,Q4167410
Q353294,P460,Q96474870
Q1235072,P31,Q4167410
Q1624316,P31,Q4167410
Q1624316,P1889,Q37551801
Q400416,P31,Q4167410
Q400416,P1889,Q30598235
Q1277907,P31,Q4167410
Q1277907,P1889,Q37474016
Q7096561,P31,Q4167410
Q1371819,P279,Q7184903
Q1371819,P180,Q344
Q1371819,P1343,Q2041543
Q1371819,P1889,Q309100
Q1371819,P828,Q309100
Q10953985,P31,Q4167410
Q95124485,P31,Q4167410
Q95124485,P460,Q1796457
Q95124485,P460,Q95124610
Q95124485,P1889,Q95124412
Q58778,P910,Q6642953
Q58778,P1343,Q2657718
Q58778,P279,Q6671777
Q58778,P1552,Q7663702
Q58778,P1552,Q215772
Q58778,P1552,Q2920644
Q58778,P1552,Q598451
Q58778,P1552,Q3298282
Q58778,P1552,Q183635
Q58778,P1552,Q96116695
Q58778,P1552,Q723897
Q58778,P1552,Q1062741
Q58778,P1552,Q52948
Q58778,P2579,Q269699
Q58778,P2579,Q123637
Q58778,P2579,Q2167061
Q58778,P2579,Q682496
Q58778,P31,Q96251598
Q58778,P2670,Q2400845
Q58778,P2670,Q1310239
Q58778,P2670,Q1151067
Q224745,P31,Q4167410
Q224745,P1889,Q4050561
Q224745,P1889,Q10708064
Q224745,P1889,Q37448985
Q224745,P460,Q246899
Q224745,P460,Q8465439
Q454839,P31,Q4167410
Q454839,P1889,Q41545212
Q11471,P279,Q20937557
Q11471,P279,Q3054889
Q11471,P910,Q4049213
Q11471,P361,Q133327
Q11471,P1343,Q2041543
Q11471,P1343,Q602358
Q11471,P1424,Q6100942
Q11471,P5008,Q5460604
Q11471,P2579,Q1754940
Q11471,P2579,Q11452
Q11471,P31,Q35120
Q11471,P31,Q1207505
Q11471,P1889,Q2199864
Q11471,P1552,Q67203587
Q452800,P31,Q4167410
Q8161,P279,Q748289
Q8161,P279,Q7748
Q8161,P279,Q98539598
Q8161,P910,Q8832154
Q8161,P1343,Q2657718
Q8161,P1343,Q19538713
Q8161,P1343,Q2041543
Q8161,P1343,Q19190511
Q8161,P5008,Q5460604
Q8161,P1424,Q14492698
Q182076,P910,Q6572456
Q182076,P279,Q189539
Q182076,P279,Q3196867
Q182076,P1343,Q2041543
Q182076,P1889,Q305253
Q1148747,P910,Q6336083
Q1148747,P361,Q1553237
Q1148747,P279,Q315364
Q1148747,P1687,P2851
Q2112047,P31,Q4167410
Q2112047,P1889,Q37185946
Q2112047,P1889,Q2112073
Q2112047,P1889,Q2920660
Q2112047,P460,Q16795985
Q2995644,P828,Q3249551
Q2995644,P828,Q4026292
Q2995644,P828,Q1190554
Q2995644,P1269,Q179289
